Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
L. Messi;31;Argentina;FC Barcelona;€110.5M;Left;Delantero;10;96;91;86;91;48;22
Cristiano Ronaldo;33;Portugal;Juventus;€77M;Right;Delantero;7;94;89;91;87;63;29
Neymar Jr;26;Brazil;Paris Saint-Germain;€118.5M;Right;Centrocampista;10;95;94;90;96;56;36
De Gea;27;Spain;Manchester United;€72M;Right;Portero;1;42;57;58;60;38;30
K. De Bruyne;27;Belgium;Manchester City;€102M;Right;Centrocampista;7;91;78;76;79;76;61
E. Hazard;27;Belgium;Chelsea;€93M;Right;Delantero;10;94;94;88;95;54;41
L. Modri?;32;Croatia;Real Madrid;€67M;Right;Centrocampista;10;93;80;72;93;62;83
L. Suárez;31;Uruguay;FC Barcelona;€80M;Right;Delantero;9;90;86;75;82;87;41
Sergio Ramos;32;Spain;Real Madrid;€51M;Right;Defensa;15;84;76;75;78;88;90
J. Oblak;25;Slovenia;Atlético Madrid;€68M;Right;Portero;1;16;43;60;67;34;19
R. Lewandowski;29;Poland;FC Bayern München;€77M;Right;Delantero;9;89;77;78;78;80;39
T. Kroos;35;Germany;Real Madrid;€76.5M;Right;Centrocampista;8;90;64;62;70;60;82
D. Godín;32;Uruguay;Atlético Madrid;€44M;Right;Defensa;10;76;68;68;58;89;88
David Silva;32;Spain;Manchester City;€60M;Left;Centrocampista;21;94;70;64;92;57;50
N. Kanté;27;France;Chelsea;€63M;Right;Centrocampista;13;80;82;78;82;90;92
P. Dybala;24;Argentina;Juventus;€89M;Left;Delantero;21;92;87;83;91;48;32
H. Kane;24;England;Tottenham Hotspur;€83.5M;Right;Delantero;9;84;68;72;71;76;35
A. Griezmann;27;France;Atlético Madrid;€78M;Left;Centrocampista;7;90;88;85;90;69;35
M. ter Stegen;26;Germany;FC Barcelona;€58M;Right;Portero;22;18;38;50;37;43;22
T. Courtois;26;Belgium;Real Madrid;€53.5M;Left;Portero;1;23;46;52;61;23;15
Sergio Busquets;29;Spain;FC Barcelona;€51.5M;Right;Centrocampista;5;88;50;52;66;85;87
E. Cavani;31;Uruguay;Paris Saint-Germain;€60M;Right;Delantero;21;82;75;76;77;84;48
